game,title,category,good
B00104UBY0,"Mamas & Papas Soft Toy, Peanut Elephant","{'PC', 'Accessories'}",True
B005WPFLO8,Hard Pouch for PlayStation Vita (Pink),"{'Games', 'Kids & Family', 'PlayStation Vita'}",False
B002GP6WAY,PixelJunk Monsters  [Online Game Code - Full Game],"{'Digital Games & DLC', 'Games', 'PlayStation 3'}",False
B00XLGBMH0,Composite AV Cable for Nintendo Wii by Mars Devices,"{'Cables & Adapters', 'Cables', 'Wii', 'Accessories'}",True
B015QHJJQW,Disney Infinity 3.0 Edition: Holiday Frozen Bundle - Amazon Exclusive,"{'PlayStation 3', 'Interactive Gaming Figures'}",True
B01AVIXKAC,Skylanders SuperChargers: Vehicle Spring Ahead Dive Bomber Character Pack,"{'PlayStation 3', 'Interactive Gaming Figures'}",True
B00644G4QK,Nintendo DSi XL - Midnight Blue Bundle with Mario vs Donkey Kong Mini-Land Mayhem,"{'Consoles', 'Nintendo DS'}",True
B00BETDYJA,Disney Infinity Character - Francesco (PS3/Xbox 360/Nintendo Wii/Wii U/3DS),"{'Kids & Family', 'PlayStation 3', 'Games'}",True
B00HE08QGO,Skylanders SWAP Force Dark Edition 5 Figure Set,"{'Wii U', 'Interactive Gaming Figures'}",True
B00H0GGWMM,Disney Infinity Series 2 Power Disc Dr. Doofenshmirtz's Damage-inator [2 of 20],set(),True
