game,title,category,good
B0050SYX8W,Halo 4 - Xbox 360 (Standard Game),"{'Xbox 360', 'Games'}",True
B000FO4KO8,Nintendo DS Lite Polar White,"{'Consoles', 'Nintendo DS'}",False
B00JK00S0S,The Last of Us Remastered - PlayStation 4,"{'Games', 'PlayStation 4'}",True
B000P46NMA,Assassin's Creed - Playstation 3,"{'Games', 'PlayStation 3'}",True
B001CXYMFS,Thrustmaster T-Flight Hotas X Flight Stick,"{'PC', 'Flight Controls', 'Controllers', 'Accessories'}",False
B003VUO6H4,Sony Playstation 3 160GB System,{'PlayStation 3'},False
B00DB9JYFY,Titanfall - Xbox One,"{'Games', 'Xbox One'}",True
B00DD0B0BM,Super Smash Bros. - Nintendo Wii U,"{'Kids & Family', 'Wii U', 'Games'}",False
B00KAED850,Far Cry 4 - PlayStation 4,"{'Games', 'PlayStation 4'}",True
B00BGA9YZK,Killzone: Shadow Fall (PlayStation 4),"{'Games', 'PlayStation 4'}",True
